id,url,name,category,review_count,blog_review_count,address,phone_number,operation_info
파리바게뜨 성균관대점,경기 수원시 장안구 서부로 2135
오스테리아우노,경기 수원시 장안구 율전로98번길 7
청년다방 수원성균관대점,경기 수원시 장안구 화산로233번길 35
먹거리고을,경기 수원시 장안구 서부로2126번길 10
예감쪽갈비 수원성대점,경기 수원시 장안구 율전로98번길 6-9
감스시,경기 수원시 장안구 서부로2123번길 17
이자카야 슌,경기 수원시 장안구 서부로2105번길 26-5
플렁드,경기 수원시 장안구 율전로 91
"일미,닭갈비,파전",경기 수원시 장안구 서부로2106번길 26-3
BBQ 수원성대역점,경기 수원시 장안구 서부로2126번길 27
월매랑삼겹이랑,경기 수원시 장안구 화산로213번길 11
빽다방 수원성균관대역점,경기 수원시 장안구 서부로 2129-1
카페휴,경기 수원시 장안구 정자로32번길 16
생마차 수원성대점,경기 수원시 장안구 화산로233번길 49
장수촌 천천점,경기 수원시 장안구 정자로 14
나츠비,경기 수원시 장안구 서부로2106번길 22
생각나는순대국 성대점,경기 수원시 장안구 서부로2126번길 38
아무술집 성대직영점,경기 수원시 장안구 화산로233번길 56
정든닭발 성대점,경기 수원시 장안구 화산로233번길 61
섬세한남자,경기 수원시 장안구 율전로 93
제주도도야지생삼겹살,경기 수원시 장안구 서부로2105번길 16-23
정성식탁,경기 수원시 장안구 서부로2136번길 9
육가든,경기 수원시 장안구 화산로233번길 62
주량 성대직영점,경기 수원시 장안구 서부로2105번길 26-8
사우스스트릿,경기 수원시 장안구 율전로 102-4
명동돈까스,경기 수원시 장안구 서부로2106번길 17
꾸이꾸이돼지마을,경기 수원시 장안구 화산로213번길 1
자연김밥,경기 수원시 장안구 서부로 2113
해를품은짬뽕 수원점,경기 수원시 장안구 정자로 16-1
지코바 율전점,경기 수원시 장안구 서부로2126번길 17
역전할머니맥주 성균관대점,경기 수원시 장안구 율전로108번길 23
본죽&비빔밥cafe 수원율전점,경기 수원시 장안구 서부로 2113
부산산꼼장어,경기 수원시 장안구 덕영대로425번길 12
부자국밥,경기 수원시 장안구 화산로233번길 46
메가MGC커피 수원상률초점,경기 수원시 장안구 덕영대로425번길 44
배스킨라빈스 수원성대점,경기 수원시 장안구 서부로 2119
자금성,경기 수원시 장안구 덕영대로511번길 37-18
성대곱창,경기 수원시 장안구 율전로 96
동자설렁탕,경기 수원시 장안구 화산로213번길 23
IMJ,경기 수원시 장안구 화산로285번길 18-1
공차 성대점,경기 수원시 장안구 서부로2126번길 9
루미네숯불닭갈비,경기 수원시 장안구 서부로2135번길 13
옛날통닭 율전점,경기 수원시 장안구 덕영대로425번길 30
메가MGC커피 수원율전점,경기 수원시 장안구 서부로2105번길 16-4
교촌치킨 율전1호점,경기 수원시 장안구 서부로2123번길 34-3
에스쿱,경기 수원시 장안구 덕영대로445번길 37
성대왕김말이,경기 수원시 장안구 화산로233번길 12
윤실장초밥 성대점,경기 수원시 장안구 서부로2105번길 13
마포화곱창 성균관대점,경기 수원시 장안구 서부로2105번길 9
회조아,경기 수원시 장안구 화산로259번길 40
삼구포차,경기 수원시 장안구 화산로233번길 52
일공사,경기 수원시 장안구 화산로233번길 61
BHC치킨 성대율전점,경기 수원시 장안구 서부로2181번길 40
스타벅스 수원천천점,경기 수원시 장안구 덕영대로535번길 46
공릉닭한마리 수원점,경기 수원시 장안구 덕영대로511번길 37-20
롤링파스타 수원성균관대점,경기 수원시 장안구 서부로 2125
장원가마솥통닭,경기 수원시 장안구 정자로 26-1
김밥천국 율전성대점,경기 수원시 장안구 서부로 2157
4년황기삼계탕,경기 수원시 장안구 상률로46번길 33
큰맘할매순대국 수원성대점,경기 수원시 장안구 서부로 2131
완미족발 수원성대점,경기 수원시 장안구 서부로 2107
설참치,경기 수원시 장안구 서부로2123번길 10
참바른김밥,경기 수원시 장안구 서부로2126번길 17
만리향,경기 수원시 장안구 서부로2167번길 51
아그집쭈꾸미 성대점,경기 수원시 장안구 화산로233번길 12
정통집 수원성대점,경기 수원시 장안구 서부로2105번길 12
힌카쿠,경기 수원시 장안구 서부로2126번길 10
빽다방 수원율전점,경기 수원시 장안구 서부로 2157
노랑통닭 성균관대점,경기 수원시 장안구 화산로213번길 32
메가MGC커피 수원성균관대점,경기 수원시 장안구 서부로 2125
가장맛있는족발 수원율전점,경기 수원시 장안구 율전로98번길 7
수천냉면,경기 수원시 장안구 덕영대로497번길 8-1
무쏘 성대점,경기 수원시 장안구 서부로 2187
피자스쿨 성대점,경기 수원시 장안구 서부로2123번길 32
기똥찬고기,경기 수원시 장안구 화산로213번길 29-6
동해바다회,경기 수원시 장안구 덕영대로497번길 18
태영생막창,경기 수원시 장안구 율전로 95
송원칼국수,경기 수원시 장안구 덕영대로425번길 8
비건카페 모앤더비,경기 수원시 장안구 율전로 105
청진동해장국 율전성대점,경기 수원시 장안구 서부로2123번길 17
뉴트로포차1972재개발구역 성대점,경기 수원시 장안구 서부로2105번길 11
솔트타운피자,경기 수원시 장안구 화산로213번길 9-4
카페로디,경기 수원시 장안구 화산로213번길 11
율천회관,경기 수원시 장안구 서부로2126번길 24
북한산조개구이,경기 수원시 장안구 서부로2135번길 13
동촌샤브칼국수 천천점,경기 수원시 장안구 정자로20번길 27
하우짓 블랙,경기 수원시 장안구 화산로213번길 25
심,경기 수원시 장안구 서부로2136번길 21
노랑냄비와석쇠구이집,경기 수원시 장안구 서부로2123번길 16
아람삼계탕,경기 수원시 장안구 서부로2123번길 27
미가라멘 성대본점,경기 수원시 장안구 서부로2106번길 38-2
태화루,경기 수원시 장안구 서부로2181번길 46
신화쭈꾸미 성대점,경기 수원시 장안구 서부로2126번길 4
독산성족발&순대국 성대점,경기 수원시 장안구 서부로2123번길 17
더맛구이구이쪽갈비 성균관대점,경기 수원시 장안구 화산로233번길 41
교촌치킨 정자2호점,경기 수원시 장안구 정자로 12-1
월드오징어바다 성균관대점,경기 수원시 장안구 서부로2105번길 11
원숭이초밥,경기 수원시 장안구 하률로 7
BBQ 수원율전점,경기 수원시 장안구 서부로 2095
양지촌,경기 수원시 장안구 화산로213번길 25
깡우동 수원성균관대점,경기 수원시 장안구 화산로233번길 30
컴포즈커피 수원성균관대점,경기 수원시 장안구 서부로 2123
동문시장맨끝집 성균관대점,경기 수원시 장안구 화산로233번길 18
화원루 천천점,경기 수원시 장안구 하률로 13-1
만다,경기 수원시 장안구 서부로2105번길 16-6
육회독존,경기 수원시 장안구 화산로233번길 46
성대지붕,경기 수원시 장안구 서부로2123번길 20
디저트39 성대점,경기 수원시 장안구 화산로213번길 23
독도참치,경기 수원시 장안구 서부로2135번길 13
화원루,경기 수원시 장안구 서부로2126번길 17
휘미관,경기 수원시 장안구 서부로2105번길 29
마리,경기 수원시 장안구 덕영대로439번길 40-9
마이요거트립 성균관대역점,경기 수원시 장안구 화산로 235
행복한손칼국수,경기 수원시 장안구 서부로2105번길 16-16
1984그수육집칼국수 수원천천점,경기 수원시 장안구 덕영대로497번길 8-3
닭강정스토리,경기 수원시 장안구 서부로2123번길 20
핵밥 수원성균관대점,경기 수원시 장안구 서부로 2128
홍성마라미방 성균관대2호점,경기 수원시 장안구 율전로108번길 10-8
양뜰양꼬치 성내점,경기 수원시 장안구 화산로233번길 54
국수나무 수원율전점,경기 수원시 장안구 서부로2123번길 10
화락바베큐치킨 수원성대점,경기 수원시 장안구 화산로233번길 42
버터랏츠,경기 수원시 장안구 서부로2181번길 29
성대밥상,경기 수원시 장안구 서부로2126번길 50-10
청원순두부,경기 수원시 장안구 하률로12번길 10
뎅과 꼬치로 수원본점,경기 수원시 장안구 서부로2105번길 26-8
감례밥상,경기 수원시 장안구 화산로233번길 62
하노이맥주밤거리 수원성대점,경기 수원시 장안구 율전로108번길 20
청기와감자탕,경기 수원시 장안구 정자로 24
파리바게뜨 수원율전점,경기 수원시 장안구 서부로2181번길 36
최고당돈가스,경기 수원시 장안구 서부로2105번길 21
대한닭갈비 본점,경기 수원시 장안구 서부로2123번길 34-7
최가네,경기 수원시 장안구 서부로2126번길 27
굽네치킨 피자 수원율전점,경기 수원시 장안구 덕영대로425번길 41
뚜레쥬르 성대율전점,경기 수원시 장안구 율전로 105
소문난김밥,경기 수원시 장안구 율전로 110
떡보킹 본점,경기 수원시 장안구 율전로 84
파파스,경기 수원시 장안구 서부로2105번길 13
육전면사무소 수원성균관대점,경기 수원시 장안구 서부로 2115
율전방앗간,경기 수원시 장안구 율전로98번길 18-12
화성옥콩콩,경기 수원시 장안구 하률로 11
빨간석쇠구이 성대점,경기 수원시 장안구 서부로2105번길 26-3
성대찌개고을,경기 수원시 장안구 서부로2105번길 16-9
정직유부 수원성대점,경기 수원시 장안구 서부로2126번길 10
파치 성대점,경기 수원시 장안구 서부로 2136
웅이네,경기 수원시 장안구 율전로 90-7
배스킨라빈스 수원율전점,경기 수원시 장안구 서부로2181번길 4
히닭발,경기 수원시 장안구 율전로98번길 18-4
육식,경기 수원시 장안구 율전로 92
바바플 성균관대점,경기 수원시 장안구 서부로2126번길 30
더벤티 수원율전점,경기 수원시 장안구 서부로2123번길 33
곤드레마을,경기 수원시 장안구 덕영대로497번길 22-12
달쏭쿠키제작소,경기 수원시 장안구 서부로2167번길 51
작은바,경기 수원시 장안구 하률로 13
유케집 성대점,경기 수원시 장안구 화산로213번길 15
소주방 율전점,경기 수원시 장안구 서부로2123번길 20-1
가장맛있는뒷고기,경기 수원시 장안구 덕영대로511번길 29-16
한솥도시락 수원성대점,경기 수원시 장안구 서부로 2112
낫얼론(Not alone),경기 수원시 장안구 화산로213번길 9-3
DCT바,경기 수원시 장안구 화산로233번길 17
수해복마라탕,경기 수원시 장안구 서부로2105번길 7
몽키키친,경기 수원시 장안구 화산로203번길 34
담은샤브칼국수 직영1호점,경기 수원시 장안구 화산로233번길 60
일미리금계찜닭 성균관대점,경기 수원시 장안구 서부로2126번길 24
왕빈자삼파전 성대점,경기 수원시 장안구 서부로2126번길 18
무지개맥주 수원성균관대점,경기 수원시 장안구 서부로2123번길 20
인생맥주,경기 수원시 장안구 서부로2123번길 17
나나테이블,경기 수원시 장안구 덕영대로497번길 8-15
언더그라운드,경기 수원시 장안구 서부로2126번길 30
땅땅치킨 수원성대점,경기 수원시 장안구 서부로2123번길 17
보드람치킨 성대역점,경기 수원시 장안구 서부로2123번길 10
전설의치킨 성대점,경기 수원시 장안구 하률로12번길 4
썬더치킨 수원성균관대점,경기 수원시 장안구 율전로 102-5
와플대학 성균관대역캠퍼스,경기 수원시 장안구 서부로 2133
알촌 성균관대점,경기 수원시 장안구 서부로2106번길 32
매머드익스프레스 수원성대역점,경기 수원시 장안구 서부로 2139
굴다리전집,경기 수원시 장안구 덕영대로425번길 8
논페이셜커피,경기 수원시 장안구 서부로2106번길 26-92
싸인이스케이프 성대역점,경기 수원시 장안구 서부로2123번길 17
수셰프치킨 수원성균관대 직영1호점,경기 수원시 장안구 화산로187번길 4
도레미파스타,경기 수원시 장안구 서부로2106번길 26-15
맥주거품 성균관대점,경기 수원시 장안구 율전로108번길 20
디인카페 수제샌드위치전문점,경기 수원시 장안구 덕영대로439번길 45
달콩,경기 수원시 장안구 서부로2181번길 9
황소마을,경기 수원시 장안구 율전로64번길 69
투다리 성대점,경기 수원시 장안구 화산로233번길 47
BBQ 율전행복점,경기 수원시 장안구 서부로2197번길 40
왕돈까스 성대본점,경기 수원시 장안구 서부로2106번길 21
밀주집,경기 수원시 장안구 화산로233번길 38
바네통,경기 수원시 장안구 덕영대로425번길 53
주꼬로,경기 수원시 장안구 서부로2105번길 26-5
해물궁,경기 수원시 장안구 덕영대로511번길 29-22
소문난순대국,경기 수원시 장안구 덕영대로511번길 29-6
다또케이크,경기 수원시 장안구 화산로 235
마약보쌈족발 천천점,경기 수원시 장안구 덕영대로511번길 37-11
에그2000 율전점,경기 수원시 장안구 율전로 107
바오밥나무 수원점,경기 수원시 장안구 덕영대로535번길 38
고기불패,경기 수원시 장안구 화산로233번길 52
싸가정곱창 담윤순대국,경기 수원시 장안구 서부로2126번길 27
다람쥐굴,경기 수원시 장안구 서부로2105번길 23
길모퉁이,경기 수원시 장안구 서부로2168번길 13-10
탕화쿵푸마라탕 성대점,경기 수원시 장안구 서부로2105번길 12
가마로강정 성균관대점,경기 수원시 장안구 서부로 2129-1
푸라닭치킨 수원정자3동점,경기 수원시 장안구 정자로 28
신전떡볶이 수원성대점,경기 수원시 장안구 서부로 2107
땅스부대찌개 수원성대점,경기 수원시 장안구 율전로 107
버거운버거 수원성균관대점,경기 수원시 장안구 서부로2126번길 29
포크포크 매콤돈가스&칡불냉면,경기 수원시 장안구 서부로2106번길 14
용수산횟집,경기 수원시 장안구 서부로2197번길 47-1
육연사 성균관대점,경기 수원시 장안구 서부로2123번길 20-1
왕코미네탕후루 성대점,경기 수원시 장안구 서부로 2107
성대족발보쌈,경기 수원시 장안구 서부로2105번길 16-1
커피(COFFEE)93.0,경기 수원시 장안구 서부로2126번길 50-4
스마일왕돈까스,경기 수원시 장안구 화산로259번길 37
사랑해베이글 수원천천점,경기 수원시 장안구 덕영대로511번길 15
훠훠우육면,경기 수원시 장안구 서부로2126번길 18
오구쌀피자 성대점,경기 수원시 장안구 서부로 2115
하루엔소쿠 수원성대점,경기 수원시 장안구 율전로98번길 6-6
크림오리,경기 수원시 장안구 덕영대로425번길 41
역북집 수원성대점,경기 수원시 장안구 서부로2123번길 16
쉐프의돈카츠,경기 수원시 장안구 하률로 21
놀부부대찌개,경기 수원시 장안구 서부로2135번길 13
꿈시루,경기 수원시 장안구 하률로12번길 82
반갑다친구야,경기 수원시 장안구 서부로2105번길 24
호호맥주,경기 수원시 장안구 서부로2105번길 26-3
치킨마루 수원성대점,경기 수원시 장안구 덕영대로 429
감성 성대점,경기 수원시 장안구 화산로233번길 55
밀플랜 본점,경기 수원시 장안구 율전로 90-6
우야꼬수제요리전문점,경기 수원시 장안구 하률로12번길 86
비어첸 수원성대점,경기 수원시 장안구 율전로108번길 5
피자헐,경기 수원시 장안구 율전로 105
진국밥 수원직영점,경기 수원시 장안구 정자로 28-1
오늘우동 수원성대점,경기 수원시 장안구 서부로2126번길 15
60계치킨 수원율전점,경기 수원시 장안구 상률로46번길 3
크라운호프 수원성대점,경기 수원시 장안구 화산로213번길 32
처갓집양념치킨 율전점,경기 수원시 장안구 율전로101번길 43
백채김치찌개 성균관대점,경기 수원시 장안구 서부로2105번길 21
평양손만두,경기 수원시 장안구 덕영대로497번길 22-4
김재권철판볶음순대국,경기 수원시 장안구 정자로 18
사계참치,경기 수원시 장안구 화산로233번길 30
애플김밥 천천점,경기 수원시 장안구 정자로 33
텐푸라바사바사,경기 수원시 장안구 서부로 2112
상무네닭발집,경기 수원시 장안구 율전로 93
투썸플레이스 수원천천점,경기 수원시 장안구 만석로19번길 29
명가복떡집,경기 수원시 장안구 덕영대로425번길 27
모브커피,경기 수원시 장안구 덕영대로439번길 39-3
영희네 고기,경기 수원시 장안구 화산로233번길 55
도래홍막창 성대점,경기 수원시 장안구 서부로2105번길 16-4
더맛있는족발보쌈 수원천천점,경기 수원시 장안구 덕영대로511번길 37-21
로봇초밥마켓 수원성대점,경기 수원시 장안구 화산로259번길 37
메가MGC커피 천천중앙점,경기 수원시 장안구 정자로 20
비네즈,경기 수원시 장안구 덕영대로417번길 52-33
장작클라스 수원성대점,경기 수원시 장안구 율전로108번길 10-8
조아마라탕,경기 수원시 장안구 서부로2123번길 20-1
옹백이 족발보쌈,경기 수원시 장안구 서부로2123번길 20-1
커피9,경기 수원시 장안구 화산로203번길 34
오븐마루치킨 수원율전점,경기 수원시 장안구 화산로259번길 51
텐사장,경기 수원시 장안구 서부로2123번길 27
더리터 수원성대점,경기 수원시 장안구 서부로2106번길 18
종로떡집,경기 수원시 장안구 율전로 104
봉구스밥버거 성대2호점,경기 수원시 장안구 서부로2126번길 30
더하다피자수원 성대점,경기 수원시 장안구 서부로2126번길 38-18
금달맥주,경기 수원시 장안구 화산로213번길 31
한남동그집 성대역점,경기 수원시 장안구 서부로2123번길 20
빨라쪼델프레도 성균관대역사점,경기 수원시 장안구 
구이육,경기 수원시 장안구 덕영대로445번길 34
더카페 라운지앤페르케노 수원성대역점,경기 수원시 장안구 서부로2126번길 10
무대뽀핫도그,경기 수원시 장안구 서부로2106번길 17
율전족발보쌈,경기 수원시 장안구 서부로2181번길 4
이서등갈비,경기 수원시 장안구 서부로2168번길 5-13
가마솥에빠진통닭,경기 수원시 장안구 덕영대로407번길 34-22
만복국수집 수원성균관대점,경기 수원시 장안구 화산로233번길 10
아마스빈 수원성균관대점,경기 수원시 장안구 서부로 2130
리꼬리또,경기 수원시 장안구 서부로2106번길 22
오군포차 성대점,경기 수원시 장안구 서부로 2136
엘가커피,경기 수원시 장안구 서부로 2135
밥밥디라라 수원성균관대점,경기 수원시 장안구 서부로2106번길 26-3
국대국,경기 수원시 장안구 서부로2105번길 26-3
버거스올마이티 수원성균관대점,경기 수원시 장안구 율전로 92
배불뚝고기파티 율전동본점,경기 수원시 장안구 서부로2181번길 46
본투비,경기 수원시 장안구 정자로 10
카페봄봄 수원 성균관대점,경기 수원시 장안구 서부로2106번길 14
오아저씨철판,경기 수원시 장안구 서부로2126번길 18
