id,url,name,review_rating
87,https://place.map.kakao.com/27276923,국수파동,4.3
88,https://place.map.kakao.com/780108318,비사이드,3.8
89,https://place.map.kakao.com/159313643,보배반점 성균관대점,3.8
90,https://place.map.kakao.com/377072176,찬이네주먹고기,4.3
91,https://place.map.kakao.com/9153270,동네빈대떡 성대직영점,4.4
92,https://place.map.kakao.com/254631179,사거리다방,4.5
93,https://place.map.kakao.com/12364442,파리바게뜨 성균관대점,2.9
94,https://place.map.kakao.com/766046626,오스테리아우노,4.1
95,https://place.map.kakao.com/1037196364,청년다방 수원성균관대점,4.1
96,https://place.map.kakao.com/14707742,먹거리고을,4.8
97,https://place.map.kakao.com/1500905935,예감쪽갈비 수원성대점,
98,https://place.map.kakao.com/16171995,감스시,3.8
99,https://place.map.kakao.com/1564913318,이자카야 슌,3.5
100,https://place.map.kakao.com/346317197,플렁드,4.4
101,https://place.map.kakao.com/15698705,"일미,닭갈비,파전",4.2
102,https://place.map.kakao.com/1258111819,BBQ 수원성대역점,2.4
103,https://place.map.kakao.com/24160437,월매랑삼겹이랑,3.7
104,https://place.map.kakao.com/26924582,빽다방 수원성균관대역점,4.5
105,https://place.map.kakao.com/853192658,카페휴,4.8
106,https://place.map.kakao.com/508508014,생마차 수원성대점,5.0
107,https://place.map.kakao.com/868755529,장수촌 천천점,3.3
108,https://place.map.kakao.com/1460865891,나츠비,4.5
109,https://place.map.kakao.com/266260479,생각나는순대국 성대점,4.2
110,https://place.map.kakao.com/1752110137,아무술집 성대직영점,2.1
111,https://place.map.kakao.com/1941692451,정든닭발 성대점,3.8
112,https://place.map.kakao.com/27181404,섬세한남자,4.6
113,https://place.map.kakao.com/8516178,제주도도야지생삼겹살,3.9
114,https://place.map.kakao.com/520447689,정성식탁,
115,https://place.map.kakao.com/1578043317,육가든,4.4
116,https://place.map.kakao.com/479258379,주량 성대직영점,
117,https://place.map.kakao.com/163642613,사우스스트릿,
118,https://place.map.kakao.com/21390672,명동돈까스,4.2
119,https://place.map.kakao.com/15809950,꾸이꾸이돼지마을,4.9
120,https://place.map.kakao.com/26317358,자연김밥,4.5
121,https://place.map.kakao.com/1590438587,해를품은짬뽕 수원점,4.4
122,https://place.map.kakao.com/11295900,지코바 율전점,3.9
123,https://place.map.kakao.com/2042897816,역전할머니맥주 성균관대점,
124,https://place.map.kakao.com/7907443,본죽&비빔밥cafe 수원율전점,3.0
125,https://place.map.kakao.com/1638654664,부산산꼼장어,4.2
126,https://place.map.kakao.com/610741145,부자국밥,4.7
127,https://place.map.kakao.com/1049809557,메가MGC커피 수원상률초점,5.0
128,https://place.map.kakao.com/10397894,배스킨라빈스 수원성대점,4.1
129,https://place.map.kakao.com/27519582,자금성,4.3
130,https://place.map.kakao.com/877155889,성대곱창,3.3
131,https://place.map.kakao.com/21323790,동자설렁탕,4.1
132,https://place.map.kakao.com/1837512260,IMJ,4.8
133,https://place.map.kakao.com/24869509,공차 성대점,4.1
134,https://place.map.kakao.com/811912865,루미네숯불닭갈비,4.5
135,https://place.map.kakao.com/462951897,옛날통닭 율전점,4.2
136,https://place.map.kakao.com/971551511,메가MGC커피 수원율전점,3.9
137,https://place.map.kakao.com/14666115,교촌치킨 율전1호점,3.2
138,https://place.map.kakao.com/641918700,에스쿱,4.9
139,https://place.map.kakao.com/1464213920,성대왕김말이,4.9
140,https://place.map.kakao.com/148202780,윤실장초밥 성대점,4.6
141,https://place.map.kakao.com/1445316158,마포화곱창 성균관대점,4.3
142,https://place.map.kakao.com/771592981,회조아,4.2
143,https://place.map.kakao.com/2018182515,삼구포차,5.0
144,https://place.map.kakao.com/86582844,일공사,4.3
145,https://place.map.kakao.com/26846151,BHC치킨 성대율전점,4.3
146,https://place.map.kakao.com/967228641,스타벅스 수원천천점,3.6
147,https://place.map.kakao.com/747720101,공릉닭한마리 수원점,4.0
148,https://place.map.kakao.com/54008184,롤링파스타 수원성균관대점,0.0
149,https://place.map.kakao.com/469922283,장원가마솥통닭,4.0
150,https://place.map.kakao.com/8799625,김밥천국 율전성대점,2.3
151,https://place.map.kakao.com/125156430,4년황기삼계탕,4.8
152,https://place.map.kakao.com/1664789127,큰맘할매순대국 수원성대점,3.8
153,https://place.map.kakao.com/1665003130,완미족발 수원성대점,4.5
154,https://place.map.kakao.com/13581495,설참치,3.4
155,https://place.map.kakao.com/1453260089,참바른김밥,4.4
156,https://place.map.kakao.com/797446683,만리향,3.5
157,https://place.map.kakao.com/1315723828,아그집쭈꾸미 성대점,3.6
158,https://place.map.kakao.com/450307831,정통집 수원성대점,3.0
159,https://place.map.kakao.com/261655717,힌카쿠,3.2
160,https://place.map.kakao.com/601434033,빽다방 수원율전점,0.0
161,https://place.map.kakao.com/25160402,노랑통닭 성균관대점,2.6
162,https://place.map.kakao.com/278807677,메가MGC커피 수원성균관대점,1.0
163,https://place.map.kakao.com/2065394692,가장맛있는족발 수원율전점,3.3
164,https://place.map.kakao.com/25118762,수천냉면,2.7
